coordinate	declared_license_names	license_urls	license_evidence_coordinate	pom_sha256	verified_artifacts
androidx.lifecycle:lifecycle-viewmodel-compose-android:2.10.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.lifecycle:lifecycle-viewmodel-compose-android:2.10.0	363387a71f0f312517514becd9a401ec8589fbcb8d0934a1cac3c5f05eb00c8a	lifecycle-viewmodel-compose-android-2.10.0.module | lifecycle-viewmodel-compose.aar
androidx.lifecycle:lifecycle-viewmodel-ktx:2.10.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.lifecycle:lifecycle-viewmodel-ktx:2.10.0	e139dbb1a00ce08aaed86557aa968eec7151d6d4b304c324e2e572275aacd908	lifecycle-viewmodel-ktx-2.10.0.aar | lifecycle-viewmodel-ktx-2.10.0.module
androidx.lifecycle:lifecycle-viewmodel-savedstate:2.10.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.lifecycle:lifecycle-viewmodel-savedstate:2.10.0	59656ffcae1e0e147043b0d6d89966a5f96752f05291ebfa028406ed94444dd1	lifecycle-viewmodel-savedstate-2.10.0.module
androidx.lifecycle:lifecycle-viewmodel-savedstate:2.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.lifecycle:lifecycle-viewmodel-savedstate:2.6.1	aa34cb8586384b8e314cfd65b1813197f32f7ba71d2529a11c071eaf02741e5b	lifecycle-viewmodel-savedstate-2.6.1.module
androidx.lifecycle:lifecycle-viewmodel-savedstate-android:2.10.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.lifecycle:lifecycle-viewmodel-savedstate-android:2.10.0	5fcd429ba57e1dde1b438534e53c23d6274d234e33c748963f6faa9f81933c87	lifecycle-viewmodel-savedstate-android-2.10.0.module | lifecycle-viewmodel-savedstate.aar
androidx.loader:loader:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.loader:loader:1.0.0	c978d550808b47434aa49a63164110a50b55b0bcc6160a93a2e37d5110df8c5e	loader-1.0.0.aar | loader-1.0.0.pom
androidx.localbroadcastmanager:localbroadcastmanager:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.localbroadcastmanager:localbroadcastmanager:1.0.0	a000041f5a1f79283c5175e1bb60cf3683780f401c6a9d34fbe9751253fa6ff9	localbroadcastmanager-1.0.0.aar | localbroadcastmanager-1.0.0.pom
androidx.media3:media3-common:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-common:1.11.0	2a5965ff854b35afeea3d8636db2c3d23fedfdea048edce3b221c7e62c528370	media3-common-1.11.0.aar | media3-common-1.11.0.module
androidx.media3:media3-common:1.9.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-common:1.9.0	aed17d81e85da98ea766f9232f2a09fa9f1ab1433fbb824a8a4892d0e82ac0fc	media3-common-1.9.0.aar | media3-common-1.9.0.module
androidx.media3:media3-container:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-container:1.11.0	dadb4850002322170c78b53b6325a16118562aaf568800ba7a635799f42d417c	media3-container-1.11.0.aar | media3-container-1.11.0.module
androidx.media3:media3-container:1.9.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-container:1.9.0	0120edcd6ce534b59d9ad4f1c5d8e6683fac283fe1a99359616d21664d5a4fbe	media3-container-1.9.0.aar | media3-container-1.9.0.module
androidx.media3:media3-database:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-database:1.11.0	951d795778085be496046b11743865f8c4f9e7c385ed163c38bcacb185177e5e	media3-database-1.11.0.aar | media3-database-1.11.0.module
androidx.media3:media3-datasource:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-datasource:1.11.0	2d2b4880cd083dff95bae49c79920bbc9506c97d211e5441f5c84f00f6ccaf99	media3-datasource-1.11.0.aar | media3-datasource-1.11.0.module
androidx.media3:media3-decoder:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-decoder:1.11.0	f1af02b4a8aaef146a7a38a2a40b3e24fa68b6abeb5759e4437bb837c4384df2	media3-decoder-1.11.0.aar | media3-decoder-1.11.0.module
androidx.media3:media3-exoplayer:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-exoplayer:1.11.0	512bbc61741043aa72b9c2d9309ba70eaff2e835102be39b02431e78ffe3c7e5	media3-exoplayer-1.11.0.aar | media3-exoplayer-1.11.0.module
androidx.media3:media3-extractor:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-extractor:1.11.0	f0f68398875088676404b6643773ba3c534a5edf68f12c2c9e73c27210752e05	media3-extractor-1.11.0.aar | media3-extractor-1.11.0.module
androidx.media3:media3-muxer:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-muxer:1.11.0	42a034c1cbe322dd80c13aaeb22b7ced6a5af73fce347794ca55d07aa0ceeadc	media3-muxer-1.11.0.aar | media3-muxer-1.11.0.module
androidx.media3:media3-muxer:1.9.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-muxer:1.9.0	47ca0d154bf41be19dff266aef5ca76cc327460233e5db6a09cebfb81dd3b6e6	media3-muxer-1.9.0.aar | media3-muxer-1.9.0.module
androidx.media3:media3-ui:1.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.media3:media3-ui:1.11.0	16e6f8f969803e295b118401eb674f4537a2206bbe0b5fb7e450e8e7a178605a	media3-ui-1.11.0.aar | media3-ui-1.11.0.module
androidx.navigationevent:navigationevent:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.navigationevent:navigationevent:1.0.0	de7fae42b4234f6fedc7762510bcb5db9860187be56f3bfec34b73db6e4a22a2	navigationevent-1.0.0.module
androidx.navigationevent:navigationevent-android:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.navigationevent:navigationevent-android:1.0.0	5cabbb40f3fba11166576a839acf4eb6db59ab5e5ebcb16361d41f8bec805b50	navigationevent-android-1.0.0.module | navigationevent.aar
androidx.navigationevent:navigationevent-compose:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.navigationevent:navigationevent-compose:1.0.0	58899c64fefa0768066621c8994385182c52a0848a78c882705f5e7dabd98471	navigationevent-compose-1.0.0.module
androidx.navigationevent:navigationevent-compose-android:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.navigationevent:navigationevent-compose-android:1.0.0	6a3b7e989b18ab25274dbd0531dcc4d66e4efb8de4985daff539d5131285bff8	navigationevent-compose-android-1.0.0.module | navigationevent-compose.aar
androidx.print:print:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.print:print:1.0.0	62482c0594841bee24bb996abb6cb7b320a6a3b77dca9f0a0ba4fe3be5530aa7	print-1.0.0.aar | print-1.0.0.pom
androidx.profileinstaller:profileinstaller:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.profileinstaller:profileinstaller:1.3.0	12cbc01c8a5ae4b412caf3c5a0662ccd28002dedcff1dbe6c2ab3665be9f758c	profileinstaller-1.3.0.aar | profileinstaller-1.3.0.module
androidx.profileinstaller:profileinstaller:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.profileinstaller:profileinstaller:1.4.0	d5fe39981a3b4b7c39585130da0bfc93835054c834a438d3e63e065e5f78be55	profileinstaller-1.4.0.aar | profileinstaller-1.4.0.module
androidx.recyclerview:recyclerview:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.recyclerview:recyclerview:1.3.0	234b2814e75a6aa947e1d0718b2a70dd1d3ab8a0c4b0ccecbb395df8468ed173	recyclerview-1.3.0.aar | recyclerview-1.3.0.module
androidx.room:room-common:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-common:2.8.4	681e3f6fd5308843aefbbb474dd3638ffd685d1ad8f7fa96b8559e5ea5ef202c	room-common-2.8.4.module
androidx.room:room-common-jvm:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-common-jvm:2.8.4	1c8f5bd00eacfc4be791390ad0d953aaee07644a91425490de790245d36a73b7	room-common-jvm-2.8.4.jar | room-common-jvm-2.8.4.module
androidx.room:room-compiler:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-compiler:2.8.4	c0b03da62eb6295fd88508db541d1ac9de6099b216de9a586846da0825fd5b06	room-compiler-2.8.4.jar | room-compiler-2.8.4.module
androidx.room:room-compiler-processing:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-compiler-processing:2.8.4	100a0d58497d490bc6e05ca6dea0a2510150150fd173a108e08a4dc450f564c5	room-compiler-processing-2.8.4.jar | room-compiler-processing-2.8.4.module
androidx.room:room-external-antlr:2.8.4	BSD-3-Clause	https://opensource.org/licenses/BSD-3-Clause	androidx.room:room-external-antlr:2.8.4	a37906f2556db6b30aedc6de4755f6fb74dc5292f1363c7082a8afb39e73479e	room-external-antlr-2.8.4.jar | room-external-antlr-2.8.4.module
androidx.room:room-ktx:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-ktx:2.8.4	98d08b944bfe947e4e3e3ae666473a8db19ae86e1ad5636d2904b6cc80bc80e4	room-ktx-2.8.4.aar | room-ktx-2.8.4.module
androidx.room:room-migration:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-migration:2.8.4	82b0aea3543674608a919358348c314f0d2a70984fd9823f041a2bbb7d418ae6	room-migration-2.8.4.module
androidx.room:room-migration-jvm:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-migration-jvm:2.8.4	5879e4ee8629e22aa0fa344676c2efa605f6838abb48af8ef20d5570705a6afa	room-migration-jvm-2.8.4.jar | room-migration-jvm-2.8.4.module
androidx.room:room-runtime:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-runtime:2.8.4	61b13fd132369dd7c3fb9d0b3076ceefa8e57ec699a8e03fb87aecb81cedd99b	room-runtime-2.8.4.module
androidx.room:room-runtime-android:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-runtime-android:2.8.4	80a198f43bb65bd7b0edfa19ee2c26e144bf379141c30be3a071a47a157b65e7	room-runtime-android-2.8.4.module | room-runtime.aar
androidx.room:room-testing:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-testing:2.8.4	a29e99b9fd4637a893d0803ea9a524e91bd237e6da14e292cbfd904e3bfde395	room-testing-2.8.4.module
androidx.room:room-testing-android:2.8.4	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.room:room-testing-android:2.8.4	7e0b899f27071d42d0214b9d6d43e87eaec041d1d625260a88dbe2644ee11888	room-testing-android-2.8.4.module | room-testing.aar
androidx.savedstate:savedstate:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate:1.0.0	844d7d22fcea798c78bf5559229daf88ec9cad8136f5eea0a29aa76b3f8fde7c	savedstate-1.0.0.aar | savedstate-1.0.0.pom
androidx.savedstate:savedstate:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate:1.1.0	49784b75cb499bb9f8137d823a872f0c6da5ca6dba7c9acf2de3a683cb7db6dc	savedstate-1.1.0.module
androidx.savedstate:savedstate:1.2.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate:1.2.1	0d33bc285df1e12f22780f1624a6f0b38ea2a6181b0955ec6641caf620c50cbf	savedstate-1.2.1.module
androidx.savedstate:savedstate:1.3.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate:1.3.1	1a12e8ec533c6b552d497dfb47fad1a39cd0b996397b74b96037a8e1bade5b59	savedstate-1.3.1.module
androidx.savedstate:savedstate:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate:1.4.0	d2b68a2d0cc76f23cebc6d4ea9bbf2d63fb536ffd94e05514ad9da6c5f530492	savedstate-1.4.0.module
androidx.savedstate:savedstate-android:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-android:1.4.0	b44b215b4cce24ca64b5faa58ff463f4b91abc02af95ba405ade488828f4f779	savedstate-android-1.4.0.module | savedstate.aar
androidx.savedstate:savedstate-compose:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose:1.3.0	de0d5abbaa76bc12e2b400d2a856b1565ee6a3c2ffdb8dae995e5f0d88132296	savedstate-compose-1.3.0.module
androidx.savedstate:savedstate-compose:1.3.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose:1.3.1	065babb8a5a72cd04b3de9a2b86679a7d558450a49f92379b18661f42ebd09b5	savedstate-compose-1.3.1.module
androidx.savedstate:savedstate-compose:1.3.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose:1.3.2	95ffc22b591ec37aeab8c7738f434d0ecd8831da2084f207396839a7f71c0083	savedstate-compose-1.3.2.module
androidx.savedstate:savedstate-compose:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose:1.4.0	b15f47b42585442c9b6a9d416afc30782c69dbf9a5760a2c37175f0024f0d17e	savedstate-compose-1.4.0.module
androidx.savedstate:savedstate-compose-android:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose-android:1.3.0	4da17fbd1db36fa931fbdbf873ada793a16d76138fd4446517d8172aa21eaf31	savedstate-compose-android-1.3.0.module
androidx.savedstate:savedstate-compose-android:1.3.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose-android:1.3.1	28fe19199dc6919011bd4c62751891867e69171e5ff1041f2d00f3740d3c6033	savedstate-compose-android-1.3.1.module
androidx.savedstate:savedstate-compose-android:1.3.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose-android:1.3.2	701c5a665f8f3d29bd7c622481f6e34785338738e899de3c44c3ce362f03d90a	savedstate-compose-android-1.3.2.module
androidx.savedstate:savedstate-compose-android:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-compose-android:1.4.0	de19831dabb84a4d0e120e86dceb08cf62c08606b5d99e91a8f8e6b4a4658883	savedstate-compose-android-1.4.0.module | savedstate-compose.aar
androidx.savedstate:savedstate-ktx:1.3.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-ktx:1.3.1	14cec91f73dde4d4c7a11ec660b6c5d083dddf30ef412cf6a1743dc10a62a5b8	savedstate-ktx-1.3.1.module
androidx.savedstate:savedstate-ktx:1.3.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-ktx:1.3.2	7c0d5190b3ea64e14782bcf93d9a8f336a026f5609bdaa1f35f63ff426015081	savedstate-ktx-1.3.2.module
androidx.savedstate:savedstate-ktx:1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.savedstate:savedstate-ktx:1.4.0	b085af7cc4bb297ed0f25ca85d3629613ab253c0b532684c6cf77c2aee7471c5	savedstate-ktx-1.4.0.aar | savedstate-ktx-1.4.0.module
androidx.sqlite:sqlite:2.6.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.sqlite:sqlite:2.6.2	ed8ff01ea1ae7c9903126a8217e6b0d849cfc2cdf198d0ee93513d96b700f41c	sqlite-2.6.2.module
androidx.sqlite:sqlite-android:2.6.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.sqlite:sqlite-android:2.6.2	1407cf53cb40a813434903fee252420f32c109f88560ac8adc771858260d7a3c	sqlite-android-2.6.2.module | sqlite.aar
androidx.sqlite:sqlite-framework:2.6.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.sqlite:sqlite-framework:2.6.2	90fbc4507a16d2969558d9e9f14f1a11898c6eda789b703f49a79d77b5a297b2	sqlite-framework-2.6.2.module
androidx.sqlite:sqlite-framework-android:2.6.2	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.sqlite:sqlite-framework-android:2.6.2	2618a352ec57009a207575830c11bd6013cd5548df472a0dba678c64821c0446	sqlite-framework-android-2.6.2.module | sqlite-framework.aar
androidx.startup:startup-runtime:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.startup:startup-runtime:1.0.0	190b654251f110452f67f6a13d766e8fee0811f07e6f0b0f77d58906226acba8	startup-runtime-1.0.0.module
androidx.startup:startup-runtime:1.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.startup:startup-runtime:1.1.1	f4114b5c6859bb1bc3caf281cb6d6f25998fa7f7292c64ceaea74a93210e746b	startup-runtime-1.1.1.aar | startup-runtime-1.1.1.module
androidx.test:annotation:1.0.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test:annotation:1.0.1	39e978b32726354a67ea6efe8535ab6579f4760fd579c9deaacb347b0bff0c3e	annotation-1.0.1.aar | annotation-1.0.1.pom
androidx.test:core:1.7.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test:core:1.7.0	b97dd112cd684ad3686f5ccf581b92b106ca76565cf02ccfece060af3bc50743	core-1.7.0.aar | core-1.7.0.pom
androidx.test:monitor:1.8.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test:monitor:1.8.0	681cf08c41700c73b146953867c0ac826da9c2a810bd2a4a8f878ea11c64d40c	monitor-1.8.0.aar | monitor-1.8.0.pom
androidx.test:runner:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test:runner:1.5.0	909882bb86a8618f307d439ead4545cf74f54d3dc6088c232e1bab4f9a97f6cc	runner-1.5.0.aar | runner-1.5.0.pom
androidx.test:runner:1.7.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test:runner:1.7.0	622831c6d31666fb3438cb0d2ee1fbbbc78cabcd49717699578d92550062207f	runner-1.7.0.aar | runner-1.7.0.pom
androidx.test.espresso:espresso-core:3.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test.espresso:espresso-core:3.5.0	9e672028617979dab465678efdd1650b53c929634c399b1f5fef28252483684d	espresso-core-3.5.0.aar | espresso-core-3.5.0.pom
androidx.test.espresso:espresso-idling-resource:3.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test.espresso:espresso-idling-resource:3.5.0	109eec25d79146122fcdaea91d27ab6e437ccd1aec54eb8e4ac23b23f4011deb	espresso-idling-resource-3.5.0.aar | espresso-idling-resource-3.5.0.pom
androidx.test.ext:junit:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test.ext:junit:1.3.0	92af7f253e5eabe2caec5c56f308312653d123042b22754d6ff664e1752dcf3f	junit-1.3.0.aar | junit-1.3.0.pom
androidx.test.services:storage:1.6.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.test.services:storage:1.6.0	8e5d72e2bceef6ef807bc38834dbc7aa53177fd20da349f53dce5a4f2a028bbf	storage-1.6.0.aar | storage-1.6.0.pom
androidx.tracing:tracing:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing:1.0.0	cd0299a90d4720d78f1cfb5ff7505f4dbc1a70d05fe23fd9f4d4b77ea59ca05e	tracing-1.0.0.module
androidx.tracing:tracing:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing:1.1.0	f1db502b5d539d94dfb6c659deb76872b1e9d8266d7aa4083868a29c33c22917	tracing-1.1.0.aar | tracing-1.1.0.module
androidx.tracing:tracing:1.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing:1.2.0	f34bec4eb58871d31002901377108aaa1ebfe77fa6d882b8b86200b158e26ea1	tracing-1.2.0.aar | tracing-1.2.0.module
androidx.tracing:tracing:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing:1.3.0	9206f270a96977187c2827d37275e2cafd2272e58c238728661af5310814363f	tracing-1.3.0.module
androidx.tracing:tracing-android:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing-android:1.3.0	0d00de26db0b0440e97a1f57ba461afa8e1dc6bad9be0e7bd779295530a4027c	tracing-android-1.3.0.module | tracing.aar
androidx.tracing:tracing-ktx:1.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing-ktx:1.2.0	8958b5a0153c1a82cb133703d3d11155898738280a354e92ca1817d7ca6f4cb7	tracing-ktx-1.2.0.module
androidx.tracing:tracing-ktx:1.3.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.tracing:tracing-ktx:1.3.0	48c6be169601bb6f1f2b49f44379c17484381b7ebdd393aee814802622a3abd3	tracing-ktx-1.3.0.aar | tracing-ktx-1.3.0.module
androidx.transition:transition:1.6.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.transition:transition:1.6.0	070d7795010071edefbef94b8c9d5a2cac5cb5f3b1a2c5e558546438177c8ef8	transition-1.6.0.aar | transition-1.6.0.module
androidx.vectordrawable:vectordrawable:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.vectordrawable:vectordrawable:1.1.0	5b0e2d5b2179e54804785cbc21ce5f473b5e1ddd55a57da482e94dcd39492bb2	vectordrawable-1.1.0.aar | vectordrawable-1.1.0.pom
androidx.vectordrawable:vectordrawable-animated:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.vectordrawable:vectordrawable-animated:1.1.0	276a20116b705fb75b9003ee9496c56f6fd3b32375fb232472811eba60a040bd	vectordrawable-animated-1.1.0.aar | vectordrawable-animated-1.1.0.pom
androidx.versionedparcelable:versionedparcelable:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.versionedparcelable:versionedparcelable:1.1.0	c729c7be0cc06323bda829d460666e79dbd43b799a21089a44bd3b293dc253b5	versionedparcelable-1.1.0.aar | versionedparcelable-1.1.0.pom
androidx.versionedparcelable:versionedparcelable:1.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.versionedparcelable:versionedparcelable:1.1.1	5f51e65873ca612de3838fa90d2ee95b8d040efd31b9c390a19bf94d615cdb2f	versionedparcelable-1.1.1.aar | versionedparcelable-1.1.1.pom
androidx.viewpager:viewpager:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.viewpager:viewpager:1.0.0	1f72f836339d03c6eb013f65075e76ca87075a577578eb4f95f74a3a5d253128	viewpager-1.0.0.aar | viewpager-1.0.0.pom
androidx.window:window:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.window:window:1.5.0	d4f22b991a69600e2ffc36b42ac199626fd96d5f1648c3beeccd35de06fcc351	window-1.5.0.aar | window-1.5.0.module
androidx.window:window-core:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.window:window-core:1.5.0	e38a30fe9a9ccb575531b265fec8e23207bda9818977aae495f3fe74b9c9e1f3	window-core-1.5.0.module
androidx.window:window-core-android:1.5.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.window:window-core-android:1.5.0	463c50b22a969c6274ebdb7b5f56ba1ea1dde352e9679f0a0ba90f3971dbcd57	window-core-android-1.5.0.module | window-core.aar
com.android:signflinger:9.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	com.android:signflinger:9.1.1	e3bd6d65aeb7b8928f5364b4040ac6f26bfc127287d9726c94eab29357820214	signflinger-9.1.1.jar | signflinger-9.1.1.pom
com.android:zipflinger:9.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	com.android:zipflinger:9.1.1	3cfb11f9dd74aa038df43bce2414d64da8f7d95ab1c7e5712804c61238e7cda6	zipflinger-9.1.1.jar | zipflinger-9.1.1.pom
com.android.application:com.android.application.gradle.plugin:9.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	com.android.application:com.android.application.gradle.plugin:9.1.1	1564e923e29929f6a7583188c3778296c3d7510b10a5b791b3cddbed046b9edd	com.android.application.gradle.plugin-9.1.1.pom
com.android.databinding:baseLibrary:9.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	com.android.databinding:baseLibrary:9.1.1	8c64d244ac88655e1b3c2fbbc0e6b0404af08c45e0806773ac98f3dc57a850f2	baseLibrary-9.1.1.jar | baseLibrary-9.1.1.pom
com.android.library:com.android.library.gradle.plugin:9.1.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	com.android.library:com.android.library.gradle.plugin:9.1.1	f679ab408fc9a285005fe1616ba050d76ce00f5a72cfa3f1423f41638c4c82a0	com.android.library.gradle.plugin-9.1.1.pom
