coordinate	declared_license_names	license_urls	license_evidence_coordinate	pom_sha256	verified_artifacts
androidx.appcompat:appcompat-resources:1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.appcompat:appcompat-resources:1.1.0	046011e16cb01b6f14842565661551110ef1b6427483f5d9068493f4c49690f2	appcompat-resources-1.1.0.aar | appcompat-resources-1.1.0.pom
androidx.arch.core:core-common:2.0.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.arch.core:core-common:2.0.1	25e8d785ec2c7c99e2b3b4e88d0c0da7083530a7aca80c8583534a92dad93935	core-common-2.0.1.pom
androidx.arch.core:core-common:2.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.arch.core:core-common:2.1.0	83bbb3960eaabc600ac366c94cb59414e441532a1d6aa9388b0b8bfface5cf01	core-common-2.1.0.pom
androidx.arch.core:core-common:2.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.arch.core:core-common:2.2.0	1e17d4af8d6425be2a69f8af4d654a87e0456259a9eef1542869bcb023547e28	core-common-2.2.0.jar | core-common-2.2.0.module
androidx.arch.core:core-runtime:2.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.arch.core:core-runtime:2.1.0	c0c4ed0160cd2ca18390015de8b392b697c173327c6b2c0947d4e62f6958c05d	core-runtime-2.1.0.aar | core-runtime-2.1.0.pom
androidx.arch.core:core-runtime:2.2.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.arch.core:core-runtime:2.2.0	0f953706598140d9d8735cdd5aeb1fa35933f4e2f31c0bf3eb81a053a4c8c1a5	core-runtime-2.2.0.aar | core-runtime-2.2.0.module
androidx.autofill:autofill:1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.autofill:autofill:1.0.0	3677abead5d4e06cf76cbacb954151e051779c2274494451fb424e375aa9e450	autofill-1.0.0.aar | autofill-1.0.0.pom
androidx.camera:camera-camera2:1.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera:camera-camera2:1.6.1	6fc5db84500614f88010b7ef3f517a71d394782389a990dc234f340f848c20b3	camera-camera2-1.6.1.aar | camera-camera2-1.6.1.module
androidx.camera:camera-camera2-pipe:1.6.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	androidx.camera:camera-camera2-pipe:1.6.1	ddfd3664652ba5f0a401f0b08250664c11b86aefbae558f26a52aab138858ba0	camera-camera2-pipe-1.6.1.aar | camera-camera2-pipe-1.6.1.module
androidx.camera:camera-core:1.6.1	The Apache Software License, Version 2.0 | BSD-3-Clause	http://www.apache.org/licenses/LICENSE-2.0.txt | https://opensource.org/licenses/BSD-3-Clause	androidx.camera:camera-core:1.6.1	6f573cb03b5eb52e91b8dd54be1395f74ffcbe181189cca01c26bbdc0e49971d	camera-core-1.6.1.aar | camera-core-1.6.1.module
